alpha,similarity,base_lr,effective_lr,seed,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,relative_time
2.0,0.2,0.05,0.0020000000000000005,3,0.0055798799730837345,0.0,0.0003858022391796112,0.005965682212263346,0.10179910063743591,0.17987489700317383
2.0,0.2,0.05,0.0020000000000000005,4,0.005707927222829312,0.0,0.0005137648549862206,0.006221692077815533,0.10318222641944885,0.1811230182647705
0.0,0.2,0.1,0.1,0,0.15895488358933108,0.0,2.210364755228511e-06,0.1589570939540863,2.3643929125682916e-07,0.17052721977233887
0.0,0.2,0.1,0.1,1,0.15577542931850985,0.0,1.4290112630988006e-06,0.15577685832977295,1.9552076935269724e-07,0.17424368858337402
0.0,0.2,0.1,0.1,2,0.15674415010232678,0.0,1.656234076108376e-06,0.1567458063364029,2.941356456176436e-07,0.17931795120239258
0.0,0.2,0.1,0.1,3,0.16217766149532054,0.0,1.152915842794755e-06,0.16217881441116333,1.9657646532778017e-07,0.21606969833374023
0.0,0.2,0.1,0.1,4,0.15521198840031047,0.0,1.725245624584204e-06,0.15521371364593506,2.1895503721225396e-07,0.2011866569519043
0.25,0.2,0.1,0.0668740304976422,0,0.15748041368919985,0.0,2.210364755228511e-06,0.15748262405395508,9.249126378563233e-06,0.1705939769744873
0.25,0.2,0.1,0.0668740304976422,1,0.15431425125416354,0.0,1.4290112630988006e-06,0.15431568026542664,8.33055491966661e-06,0.19560575485229492
0.25,0.2,0.1,0.0668740304976422,2,0.15507687407750836,0.0,1.656234076108376e-06,0.15507853031158447,1.1134709893667605e-05,0.19043421745300293
0.25,0.2,0.1,0.0668740304976422,3,0.1605838332940266,0.0,1.152915842794755e-06,0.16058498620986938,9.015723662741948e-06,0.1705327033996582
0.25,0.2,0.1,0.0668740304976422,4,0.15375656218418499,0.0,1.725245624584204e-06,0.15375828742980957,8.948844879341777e-06,0.2001800537109375
0.5,0.2,0.1,0.044721359549995794,0,0.15186568595368044,0.0,2.210364755228511e-06,0.15186789631843567,0.00012897523993160576,0.2066636085510254
0.5,0.2,0.1,0.044721359549995794,1,0.14854706973846987,0.0,1.4290112630988006e-06,0.14854849874973297,0.00012406909081619233,0.23297929763793945
0.5,0.2,0.1,0.044721359549995794,2,0.14885999041814557,0.0,1.656234076108376e-06,0.14886164665222168,0.0001507929846411571,0.19319701194763184
0.5,0.2,0.1,0.044721359549995794,3,0.15438131435405467,0.0,1.152915842794755e-06,0.15438246726989746,0.00013591756578534842,0.22760725021362305
